rank,listed_at,type,title,year,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,runtime,season_number,season_trakt_id,season_tmdb_id,season_tvdb_id,episode_number,episode_title,episode_released,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres
115,2019-07-09T05:24:06Z,movie,Blade Runner 2049,2017,216716,tt1856101,335984,,https://trakt.tv/movies/blade-runner-2049-2017,2017-10-06,163,,,,,,,,,,,,"science-fiction,drama"
116,2019-07-09T05:24:38Z,movie,District 9,2009,10803,tt1136608,17654,,https://trakt.tv/movies/district-9-2009,2009-08-14,112,,,,,,,,,,,,science-fiction
117,2019-07-09T05:24:51Z,movie,Independence Day,1996,480,tt0116629,602,,https://trakt.tv/movies/independence-day-1996,1996-06-25,145,,,,,,,,,,,,"action,adventure,science-fiction"
118,2019-07-09T05:17:57Z,movie,Independence Day: Resurgence,2016,33179,tt1628841,47933,,https://trakt.tv/movies/independence-day-resurgence-2016,2016-06-24,120,,,,,,,,,,,,"action,science-fiction,adventure"
119,2019-07-09T05:25:07Z,movie,RoboCop,2014,70554,tt1234721,97020,,https://trakt.tv/movies/robocop-2014,2014-02-12,102,,,,,,,,,,,,"action,science-fiction"
120,2019-07-09T05:25:38Z,movie,John Wick,2014,149640,tt2911666,245891,,https://trakt.tv/movies/john-wick-2014,2014-10-24,101,,,,,,,,,,,,"action,thriller"
121,2019-07-09T05:25:29Z,movie,John Wick: Chapter 3 – Parabellum,2019,304278,tt6146586,458156,,https://trakt.tv/movies/john-wick-chapter-3-parabellum-2019,2019-05-17,131,,,,,,,,,,,,"crime,action,thriller"
122,2019-07-09T05:25:41Z,movie,Edge of Tomorrow,2014,92230,tt1631867,137113,,https://trakt.tv/movies/edge-of-tomorrow-2014,2014-06-06,113,,,,,,,,,,,,"action,science-fiction"
123,2019-07-09T05:25:51Z,movie,Jason Bourne,2016,205219,tt4196776,324668,,https://trakt.tv/movies/jason-bourne-2016,2016-07-29,123,,,,,,,,,,,,"action,thriller"
124,2019-07-09T05:18:56Z,movie,The Bourne Ultimatum,2007,1737,tt0440963,2503,,https://trakt.tv/movies/the-bourne-ultimatum-2007,2007-08-03,115,,,,,,,,,,,,"action,drama,mystery,thriller"
125,2019-07-09T05:25:54Z,movie,The Bourne Supremacy,2004,1736,tt0372183,2502,,https://trakt.tv/movies/the-bourne-supremacy-2004,2004-07-23,108,,,,,,,,,,,,"action,drama,thriller"
126,2019-07-09T05:25:55Z,movie,The Bourne Identity,2002,1735,tt0258463,2501,,https://trakt.tv/movies/the-bourne-identity-2002,2002-06-14,119,,,,,,,,,,,,"action,drama,mystery,thriller"
127,2019-07-09T05:18:59Z,movie,The Bourne Legacy,2012,34086,tt1194173,49040,,https://trakt.tv/movies/the-bourne-legacy-2012,2012-08-10,135,,,,,,,,,,,,"action,thriller"
128,2019-07-09T05:24:50Z,movie,Hitman,2007,1067,tt0465494,1620,,https://trakt.tv/movies/hitman-2007,2007-11-21,89,,,,,,,,,,,,"action,crime,drama,thriller"
129,2019-07-09T05:26:12Z,show,Taken,2017,107794,tt5052460,68006,311892,https://trakt.tv/shows/taken-2017,2017-02-28,42,,,,,,,,,,,,"action,adventure,crime"
130,2019-07-09T05:26:25Z,movie,Taken 2,2012,61849,tt1397280,82675,,https://trakt.tv/movies/taken-2-2012,2012-10-04,91,,,,,,,,,,,,"action,crime,thriller"
131,2019-07-09T05:26:16Z,movie,Taken 3,2014,159491,tt2446042,260346,,https://trakt.tv/movies/taken-3-2014,2015-01-09,109,,,,,,,,,,,,"action,thriller"
132,2019-07-09T05:26:26Z,movie,Die Hard 2,1990,1030,tt0099423,1573,,https://trakt.tv/movies/die-hard-2-1990,1990-07-02,124,,,,,,,,,,,,"action,thriller"
133,2019-07-09T05:26:29Z,movie,A Good Day to Die Hard,2013,33210,tt1606378,47964,,https://trakt.tv/movies/a-good-day-to-die-hard-2013,2013-02-14,98,,,,,,,,,,,,"action,thriller"
134,2019-07-09T05:26:36Z,movie,Decoding Die Hard,2013,124402,tt2667254,199328,,https://trakt.tv/movies/decoding-die-hard-2013,2013-01-29,107,,,,,,,,,,,,
135,2019-07-09T05:19:45Z,movie,Die Hard,1997,40099,tt0254278,56283,,https://trakt.tv/movies/die-hard-1997,1997-01-01,2,,,,,,,,,,,,action
136,2019-07-09T05:26:55Z,movie,Speed Racer,2008,3919,tt0811080,7459,,https://trakt.tv/movies/speed-racer-2008,2008-05-09,135,,,,,,,,,,,,"family,action,adventure,comedy"
